alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_1,2.24278715507854,-2.75514180863606,5.75580245436675,2.68375199847066,-0.449187192923495,-0.0769121983000301,0.364164070329711,198.177694738511,9.19356867780726,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,1,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_2,2.23934772011642,-2.77419000360676,5.68712127016542,2.67519959965756,-0.423805809858053,-0.0734998097006353,0.352976341558248,198.193667203061,9.17446493950273,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,2,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_3,2.24406234986575,-2.73644967562391,5.81935733262251,2.69339996208156,-0.476370904155748,-0.0828664798291344,0.375188100780825,198.064794211408,9.19894676880183,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,3,7,63
0.1_0.9_0_0_0_1,2.2188305937114,-2.69414729593322,5.34224772237283,2.68005795928247,-0.343765727019899,-0.0238613318450564,0.359306699167151,181.234145494612,9.14079185242938,MoNb,0.1,0.9,0,0,0,1,100,64
0.1_0.9_0_0_0_2,2.21181808956279,-2.71205822249974,5.27459584022762,2.65960126444844,-0.327958402473367,-0.0213993101395123,0.348416600347234,181.370185460107,9.07869962734695,MoNb,0.1,0.9,0,0,0,2,100,64
0.1_0.9_0_0_0_3,2.21588866658364,-2.70306265959118,5.30807176828055,2.66891279641604,-0.336400531992026,-0.0223216041187049,0.353818445298076,181.382967137842,9.10742631246354,MoNb,0.1,0.9,0,0,0,3,100,64
0.1_0_0.9_0_0_1,2.45642278682326,-2.41463459680266,6.47231083467263,3.38477898883721,-0.336556099347712,-0.0756714382383149,0.576343167941239,156.837862892148,11.3713425791872,MoTa,0.1,0,0.9,0,0,1,100,65
0.1_0_0.9_0_0_2,2.46094655015809,-2.40572585191355,6.5177493946362,3.4009414567697,-0.345067523115706,-0.0764392249461143,0.585609023192539,156.912421678658,11.4239904194212,MoTa,0.1,0,0.9,0,0,2,100,65
0.1_0_0.9_0_0_3,2.46060960577414,-2.40572585191356,6.51726658317601,3.40183059636518,-0.345291736704442,-0.0762270236388469,0.585565559983286,157.010402923135,11.425092688063,MoTa,0.1,0,0.9,0,0,3,100,65
0.1_0_0_0.9_0_1,2.3120390832228,-2.61183134336167,5.6795938673341,2.91078202192328,-0.295226123608607,0.0107882049127483,0.414870742983484,178.553780302773,10.0719748918067,MoV,0.1,0,0,0.9,0,1,100,66
